project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
SudhanshuYadav174/AgriCart,https://github.com/SudhanshuYadav174/AgriCart.git,1,2,1,4,"The provided README fragment is extremely limited. It contains only a brief greeting, a single command (`npm run lint`), a note about conventional commits, and a short security note. It lacks a clear project description, any setup instructions for local development (beyond linting), integration or usage guides, and contribution guidelines. The overall structure is minimal, and there is insufficient information for a user or contributor to understand, build, or contribute to the project. Consequently, it falls into the “Very Poor” category.","2 - Commits every other week. Weekly development summary: Week of 2025-09-08: The week introduced the full AgriQCert application, adding a React front‑end with dozens of UI components and pages (dashboards, auth, certificate verification, etc.), Supabase backend functions, migrations, and a Motoko canister for the passport registry. It also added comprehensive deployment tooling for the Internet Computer, including .dfx local network configuration, PowerShell/batch/install scripts, and new npm scripts for local and ICP deployment. Together these changes establish the core product and enable building and deploying it to both a local DFX environment and the ICP mainnet.; Week of 2025-09-15: Implemented dual authentication by adding Internet Identity (ICP) support: introduced the `useICAuth` hook, updated environment variables and dependencies, and integrated IC auth checks into guards, header, role handling, and the exporter dashboard. Enhanced the login page with an IC login button and adjusted redirects to accommodate both Supabase and IC users. Minor internal file renames and timestamp updates were also applied.",dfx.json file found - indicates ICP/Dfinity project structure
https://github.com/easydapp,https://github.com/easydapp,0,0,0,0,Error during evaluation: list index out of range,Error during evaluation: list index out of range,Error during evaluation: list index out of range
NeteamIndustry/Modl-Phownership,https://github.com/NeteamIndustry/Modl-Phownership,2,2,1,5,"The README provides a detailed overview of the Motoko canister API, CLI usage examples, and external watermark/verify endpoints, as well as a brief mainnet deployment snippet. However, it lacks several essential elements for comprehensive documentation:","2 - Commits every other week. Weekly development summary: Week of 2025-09-08: This week we rolled out a redesigned UI and added a “GetAll Verified Photos” feature, while completing the Motoko backend setup for verification and workflow management and removing an unused agent component. Minor updates and bug fixes were also applied. Together, these changes enhance the user experience, expand photo‑verification capabilities, and streamline the backend infrastructure.; Week of 2025-09-22: Updated the README.md with a comprehensive project overview, including detailed architecture diagrams, backend/frontend descriptions, deployment IDs, and prerequisite information. This documentation overhaul clarifies how the Motoko registry canister, Vite frontend, and external Python watermark/verify service interact. No code changes were introduced, so the functional impact is limited to improved developer guidance.",dfx.json file found - indicates ICP/Dfinity project structure
Pranav-Marwaha-73/Medi_Verify_Counterfeit-Drug-Detection,https://github.com/Pranav-Marwaha-73/Medi_Verify_Counterfeit-Drug-Detection,3,0,1,4,"The README provides a solid high‑level overview of the project—clearly stating the problem, the proposed solution, and a step‑by‑step explanation of how the system works. The visual badges and introductory sections are well‑formatted and the language is generally clear.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
552020/futura_alpha_icp,https://github.com/552020/futura_alpha_icp,3,3,1,7,"The README provides a clear project description and fairly detailed local‑development setup instructions, including cloning with submodules, environment configuration, DFX startup, canister deployment, and how to run the Next.js front‑end. It also lists the deployed canister IDs and URLs, which is helpful for testing the live service.","3 - Commits every week. Weekly development summary: Week of 2025-09-01: This week we completed the migration of capsule, gallery, and memory storage to a unified capsule‑store API, introduced comprehensive CRUD endpoints (capsules, galleries, memories) with standardized `Result<T, Error>` error handling, and added new capabilities such as idempotent memory creation, `capsules_bind_neon` resource binding, and advanced gallery synchronization. We refactored modules, consolidated test utilities, expanded documentation, and removed obsolete code, resulting in a cleaner, more maintainable codebase with improved performance, reliability, and production readiness. Overall, the changes deliver full feature completeness, consistent APIs across backend and frontend, and a solid foundation for the next deployment phases.; Week of 2025-09-08: Implemented a new llama‑3.1‑8b‑dreams model with an OpenAI‑compatible completions endpoint (including a “completion kind” and thetaCompletions functions), updated demo routing, and cleaned up TypeScript/ESLint errors to deliver a production‑ready build. Added a fully type‑safe ICP inline memory creation flow with real backend calls, auth pre‑check, proper Result handling, SSR‑safe initialization, and IndexedDB build fixes, plus a database‑constraint audit script for Postgres schema‑drift detection integrated into CI. Minor updates and fixes rounded out the work, improving overall feature reliability, build stability, and operational readiness.; Week of 2025-09-15: Implemented a production‑ready Vercel Blob grant flow with ngrok integration, client‑side upload handling, a secure grant endpoint, automatic chunking, Sharp image processing, extensive documentation, and backend fixes (UUID type mismatches, JWT callback syntax, folder‑relation bugs, FormData double‑parsing). Added a unified `POST /api/memories` endpoint with a richer schema (tags, people, likes, comments) that overhauled the memory feature, and resolved a React hydration mismatch in Radix UI components while expanding error‑handling documentation. Together these changes provide a robust, scalable file‑upload solution, broaden social functionality, and markedly improve stability and developer experience.; Week of 2025-09-22: Documentation was reorganized: the root docs folder was removed and its files moved into src/nextjs/docs, and the README was restored to its detailed version after a brief simplification. IDE‑specific settings were cleaned up by deleting .vscode/settings.json and adding .vscode/ to .gitignore. No functional code changes were introduced this week.",dfx.json file found - indicates ICP/Dfinity project structure
nitinc264/WCHL-National-Round,https://github.com/nitinc264/WCHL-National-Round,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
onicai/funnAI,https://github.com/onicai/funnAI,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
Ananya-Mittal/Elira_WCHL,https://github.com/Ananya-Mittal/Elira_WCHL.git,3,2,0,5,"The README provides a clear and well‑structured overview of the project’s vision, target audience, platform concept, key features, tech stack, and social impact. The formatting is clean and the language is generally grammatical. However, it lacks essential developer‑focused information: there are no setup or installation instructions for running the project locally, no integration or API usage guide, and no contribution guidelines (e.g., how to submit pull requests, coding standards, or issue reporting). Because the documentation covers the high‑level description but is missing these critical elements for contributors and developers, it falls into the “Fair” category.","2 - Commits every other week. Weekly development summary: Week of 2025-09-15: Added the new ""Elira"" feature, implementing both front‑end and back‑end components, and updated language support throughout the application.; Week of 2025-09-22: This week introduced a major UI overhaul for the seller experience: the dashboard component was refactored with new Recharts visualizations, dark‑mode support, collapsible sidebar, notifications and expanded state handling, while its old CSS was removed and replaced with a fresh style. The seller signup flow was redesigned with additional fields, password‑strength feedback, terms acceptance and a modern card layout, and the login redirect was updated to the new dashboard route. Supporting updates added new dependencies (es‑toolkit, recharts, TypeScript) and expanded the DigitalLearning component with a curated list of women‑entrepreneur videos.",No dfx.json file found - may not be using standard ICP/Dfinity development tools
Mercatura01/TURNX,https://github.com/Mercatura01/TURNX,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
Y0sefTamer/care_link,https://github.com/Y0sefTamer/care_link,3,2,1,6,No documentation assessment provided.,"2 - Commits every other week. Weekly development summary: Week of 2025-09-01: This week a new Rust canister, **dashboard_backend**, was added—including its Cargo.toml, source code, candid interface, and canister ID file—and integrated into the workspace and dfx configuration. Supporting dependencies (e.g., ic‑stable‑structures) were added to Cargo.lock, and the project’s member list was updated to include the new backend. The changes introduce a dedicated backend service for the dashboard feature.; Week of 2025-09-15: This week we added full patient management to the dashboard—including create, update, and rename‑consistent delete capabilities—and enabled cross‑canister fetching of patients, nurses, and bookings to improve data synchronization. We also introduced a new booking system by annotating `confirm_booking` with `#[ic_cdk::update]`, fixing its candid interface, updating the `care_link_backend.did` definition, and refreshing the README for deployment readiness. Together, these enhancements expand core functionality, streamline inter‑service data flow, and prepare the platform for production use.; Week of 2025-09-22: This week the frontend was dramatically expanded with many new user pages—including Dashboard, NursesList, Booking, Messaging, Pharmacy, Shopping, Radiology, Medication Management, and related components—and corresponding admin messaging pages, with routes, navigation links, and UI updates to the Navbar, Footer, and DashboardSidebar to support them. New visual assets were added, the landing layout now includes a footer, and the AuthContext logout logic was tightened to clear local storage. The README was also rewritten to present a detailed problem statement, solution overview, and key feature list, reflecting the broader functionality now available.",dfx.json file found - indicates ICP/Dfinity project structure
