project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
PostedApp/wchl,https://github.com/PostedApp/wchl,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
baolongt/dtrack-hackathon,https://github.com/baolongt/dtrack-hackathon,0,2,1,3,No documentation assessment provided.,"2 - Commits every other week. Weekly development summary: Week of 2025-09-08: Implemented product tagging on both the frontend and backend, added a searchable account dashboard, and renamed the “wallet” entity to “account” throughout the UI, accompanied by UI tweaks and miscellaneous bug fixes (including the add‑button). Minor updates and additional fixes were also applied across the codebase. These changes improve data categorization, navigation, terminology consistency, and overall stability.; Week of 2025-09-15: The transaction‑history hook was refined to show up to five decimal places for USD values (instead of the previous two), enhancing currency precision in the frontend’s financial displays.",dfx.json file found - indicates ICP/Dfinity project structure
multi-system/multi-ic,https://github.com/multi-system/multi-ic,4,2,1,7,"The README provides a solid project overview, clear setup and installation steps, and detailed instructions for running the project locally and executing both unit and end‑to‑end tests. The command reference is helpful and well‑formatted. However, it lacks explicit contribution guidelines (e.g., how to submit PRs, code style, branching model) and does not include an integration guide for consuming the library or canister from other projects. Adding those sections would elevate the documentation to an “Excellent” level. Grammar and formatting are generally good.","2 - Commits every other week. Weekly development summary: Week of 2025-09-15: This week added new reusable UI components (Dropdown, Select, Tooltip, Aurora) and refactored the wallet sidebar to pull live token prices from the history canister via a SystemInfo context, introducing related state, imports, and UI enhancements. Minor styling and code‑quality adjustments were also made to existing components such as BasketDisplay, MultiLogo, and the App wallet button layout. Overall, the updates improve frontend interactivity, price visibility, and maintainability.; Week of 2025-09-22: Implemented a fix for the wallet deposit calculation by refactoring `WalletSidebar.tsx` to use the existing `systemInfo.multiPrice` hook instead of custom price‑fetching logic, removing redundant state and simplifying token handling. This streamlines the component, improves accuracy of deposited amounts, and reduces unnecessary API calls. No new files were added or removed.",dfx.json file found - indicates ICP/Dfinity project structure
Alkamal01/cogni-icp,https://github.com/Alkamal01/cogni-icp,3,1,1,5,"The README provides a solid project overview, a clear list of features, and a fairly detailed “Quick Start” section that covers prerequisites, cloning, installing both frontend and backend dependencies, starting the local Internet Computer replica, deploying canisters, and running the development server. This satisfies the setup‑for‑local‑development requirement.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-09-22: Added a new `cloudinaryService.ts` (86 lines) to handle Cloudinary uploads using environment‑based configuration, and updated the backend `lib.rs` to eliminate hard‑coded secrets, disable canister AI calls, and adopt the same env‑driven Cloudinary settings. These changes improve security, configurability, and reduce external AI dependencies across the project.",dfx.json file found - indicates ICP/Dfinity project structure
mangekyou-labs/oreka,https://github.com/mangekyou-labs/oreka,3,1,1,5,"The README provides solid **setup instructions for local development**, including prerequisites, step‑by‑step commands for starting the replica, deploying canisters, installing frontend dependencies, and running the dev server. It also documents a specific usage flow (creating a market) and important operational notes (cycle requirements).","1 - 1 or 2 commits. Weekly development summary: Week of 2025-09-22: This week the market‑listing UI was overhauled to show the newest markets first and include a manual refresh trigger, with pagination logic updated in ListMarketsMui, ListAddressOwner, and the markets page. The Internet Identity candid interface was expanded with new types and configuration fields, and environment files were updated to reference new factory and ledger canister IDs, while several ICP image assets and Next.js dependencies were added. Documentation wording was also refined.",dfx.json file found - indicates ICP/Dfinity project structure
TharunBabu-05/smart_ticket_MTC,https://github.com/TharunBabu-05/smart_ticket_MTC.git,3,2,1,6,"The README provides a clear and well‑structured project description, outlining the purpose, key features, and technical architecture of the FareGuard application. The formatting is clean, headings are logical, and the language is generally free of grammatical errors. However, it lacks essential practical information needed for developers to get the project up and running: there are no setup or installation instructions for local development, no guide on how to configure the Firebase backend, Razorpay integration, or sensor communication, and no contribution guidelines (e.g., code style, pull‑request process, issue reporting). Because the documentation covers the high‑level overview but omits these critical operational details, it falls into the “basic documentation present but missing some important elements” category.","2 - Commits every other week. Weekly development summary: Week of 2025-09-08: This week we delivered full voice ticket‑booking support, integrating speech‑to‑text and text‑to‑speech capabilities, and expanded the app to run on iOS devices. We also refined and documented the iOS build workflows, fixing configuration issues to stabilize the CI/CD pipeline. These changes improve user interaction through voice, broaden platform coverage, and increase build reliability.; Week of 2025-09-15: This week we launched a suite of new features—including a comprehensive All Reviews system with analytics widgets, a live bus‑tracking screen with real‑time Google‑Maps markers and bottom‑sheet details, a Safety Features screen offering SOS alerts and live‑location sharing, an expanded weather module with OpenWeatherMap forecasts, recommendation logic, and a compact widget, ICP blockchain wallet integration for ticket purchases, and a Usage Analytics & Personalization dashboard for travel statistics and preferences. Core UI components were refined: HomeScreen received adaptive gradients and a new weather widget, ProfileScreen added avatar selection and Firebase‑backed editing, and unified theming was applied throughout, while extensive accessibility upgrades (font‑size adjustment, gesture navigation, high‑contrast preview) and code‑base refactoring improved usability and maintainability.",dfx.json file found - indicates ICP/Dfinity project structure
MazenMarei/Tal3a,https://github.com/MazenMarei/Tal3a,2,0,1,3,"The README provides a decent high‑level project description, branding, and a list of key features, which gives readers a sense of what Tal3a is and why it exists. However, it lacks essential practical information:",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
NMsby/rotatechain,https://github.com/NMsby/rotatechain.git,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
Shardul0x/WCHL,https://github.com/Shardul0x/WCHL/tree/main,1,1,1,3,"The README provides only a brief, vague list of “creators” and a contributors section followed by a license notice. It lacks a clear project description, any overview of purpose or functionality, setup or installation instructions for local development, integration or usage guides, and contribution guidelines. The formatting is minimal and there are grammatical issues (e.g., “r creators”). Overall, the documentation is insufficient for users or contributors to understand, build, or work with the project.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-09-15: This week’s ten commits delivered a series of incremental updates and bug fixes that refined existing functionality and improved overall system stability. The changes addressed minor issues, optimized performance, and tightened edge‑case handling across several components. As a result, the product is more reliable and responsive for users.",dfx.json file found - indicates ICP/Dfinity project structure
InteliThreeGroup/Beneficios,https://github.com/InteliThreeGroup/Beneficios,2,1,1,4,"The README provides a good high‑level overview of the project’s purpose, core features, and value proposition, and it includes useful links to the business plan, pitch deck, and demo video. However, it lacks essential practical information:","1 - 1 or 2 commits. Weekly development summary: Week of 2025-09-22: This week the team added a full Python test suite for the backend canisters (benefits_manager, challenge_ai, establishment, wallet) and updated .gitignore to exclude test and virtual‑environment files. Canister configuration was expanded with new IDs for challenge_ai, llmo_home and reporting, the Bitcoin canister code was refactored with clearer utility functions and comments, and the challenge_ai context was made a stable variable. Documentation was also substantially improved, adding a detailed README summary, architecture diagrams, and a table of deployed canisters.",dfx.json file found - indicates ICP/Dfinity project structure
