project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
Jack0thy/Constellation_Protocol,https://github.com/Jack0thy/Constellation_Protocol,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
rishab36/parking-finder,https://github.com/rishab36/parking-finder,2,1,1,4,"The README provides a strong, visually appealing project overview, feature list, and technology stack, which gives readers a good sense of what the application does and its architectural components. However, it lacks essential practical documentation:","1 - commits for only one week. Weekly development summary: Week of 2025-09-15: Added full Internet Computer (ICP) integration for the parking app, including a Motoko canister with CRUD operations, a TypeScript ICP agent, a React component with real/mock data toggle, and comprehensive deployment documentation. Updated the README to detail the new blockchain features, installation steps, and community engagement sections. These changes provide persistent on‑chain parking data, real‑time availability updates, and complete frontend‑backend Web3 functionality.",dfx.json file found - indicates ICP/Dfinity project structure
GeheshbabuD/cryptexid-website1,https://github.com/GeheshbabuD/cryptexid-website1,3,1,0,4,"The README provides clear setup instructions for local development—how to start the app, run tests, build for production, and (optionally) eject. The formatting is clean and the language is understandable. However, it lacks a general project description beyond noting that it was bootstrapped with Create React App, offers no integration guide for using the project as a library or component, and provides no contribution guidelines (e.g., how to submit issues, pull requests, code style, or testing expectations). Because key elements such as project overview and contribution instructions are missing, the documentation is only basic and therefore merits a “Fair” rating.","1 - commits for only one week. Weekly development summary: Week of 2025-09-15: Added four GitHub Actions workflow files—webpack.yml, npm-publish.yml, npm-publish-github-packages.yml, and static.yml—to automate building, testing, and publishing the project (including npm and GitHub Packages) and to handle static site deployment. These new CI/CD pipelines extend the initial codebase with automated build and release processes, improving development efficiency and deployment reliability.",No dfx.json file found - may not be using standard ICP/Dfinity development tools
FundVerse499/FundVerse,https://github.com/FundVerse499/FundVerse,3,0,1,4,"The README provides solid **setup instructions for local development** – it lists the required DFX commands, how to start the replica, deploy canisters, generate Candid interfaces, and run the frontend server. It also includes a helpful note about frontend environment variables.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
icdevs/evm-dao-governance,https://github.com/icdevs/evm-dao-governance,2,3,1,6,"The README provides a rich overview of the system’s architecture, technical components, and user flows, and it includes appealing diagrams and a high‑level feature list. However, it lacks essential practical documentation:","3 - commits for every other week. Weekly development summary: Week of 2025-09-01: The week added full Sign‑In‑With‑Ethereum (SIWE) support: a new `ic_siwe_provider` canister was defined in `dfx.json`, a deployment script `scripts/deploy‑siwe.sh` and frontend Svelte components (`SiweLogin.svelte`, `siwe.js`, `wallet.js`, plus a route page) were added, and dependencies were updated to include `ic‑siwe‑js` and `viem`. The token‑setup script was enhanced to accept multiple MetaMask addresses, convert them to a JSON array, and add robust error handling for Forge compilation. Legacy `frontend_old` files were removed and the project cleaned up.; Week of 2025-09-08: Minor updates and fixes.",dfx.json file found - indicates ICP/Dfinity project structure
Reputation-DAO/Reputaion-DAO,https://github.com/Reputation-DAO/Reputaion-DAO,3,2,1,6,"The README provides a decent overview of the project’s purpose, core concepts, and several example application flows, which helps readers understand what the Reputation DAO does. It includes a quick‑start section with basic steps to run the backend locally and start the frontend, giving enough information to get a development environment up and running at a minimal level.","2 - commits for two weeks. Weekly development summary: Week of 2025-09-08: This week added a new “Factoria” factory canister (including its source file, deployment config, ID entry, optimize‑size flag and test scripts) to enable scalable creation and reuse of child Reputation DAO canisters. The Reputation DAO code was refactored into a streamlined child canister (with updated hashing, argument encoding, and safety‑rail logic) and its build settings were adjusted for size optimization. Minor UI tweaks (updated Hero video link) and assorted test scripts were also introduced.; Week of 2025-09-15: This week we integrated a modern Tailwind UI from the newUI branch, replacing the old frontend while preserving the existing backend and canister architecture, and cleaned up duplicate files, corrected import paths, and updated tsconfig and dependencies to resolve merge conflicts and ensure a clean, error‑free build. Minor updates and fixes were also applied across the codebase. The result is a refreshed, more maintainable user interface and a more stable overall application.; Week of 2025-09-22: This week’s nine commits delivered a series of minor updates and bug fixes, refining existing functionality and enhancing overall stability. The changes improve performance and address several edge‑case issues, resulting in a smoother user experience. No new features were introduced.",dfx.json file found - indicates ICP/Dfinity project structure
zeyadlotfy11/Asl-project,https://github.com/zeyadlotfy11/Asl-project,3,1,1,5,"The README provides a solid high‑level overview of the project – it lists core features, shows a clear system‑architecture diagram, and details the folder layout and design system. The markdown formatting and diagrams are well‑structured and the language is generally clear.","1 - commits for only one week. Weekly development summary: Week of 2025-09-22: A full Flutter mobile application was added, introducing core infrastructure (Riverpod state management, GoRouter navigation, Hive storage, ICP service integration) plus UI pages for authentication, artifacts, proposals, NFTs, profile, and settings, together with models, services, widgets, providers and a pubspec file. The README was expanded to document the new mobile architecture, provide an Android‑APK download link, and detail the Flutter stack. These changes extend the project from a web‑only platform to a cross‑platform mobile app, significantly broadening its reach.",dfx.json file found - indicates ICP/Dfinity project structure
prp101/develo-dao,https://github.com/prp101/develo-dao,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
dickhery/ICP_Ad_Network,https://github.com/dickhery/ICP_Ad_Network,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
Txrmarcos/TaaS,https://github.com/Txrmarcos/TaaS,2,2,1,5,"The README provides a decent high‑level project description and lists prerequisites, which is a good start. However, the setup instructions are incomplete (the installation section ends abruptly after `cd`), there are no usage or run commands, no integration guide, and no contribution guidelines. The table of contents suggests many sections (architecture, financial analysis, etc.) that are not actually present in the provided excerpt. Minor grammatical errors (“finantial”, “finantial”) also affect readability. Overall, the documentation has significant gaps that prevent a newcomer from setting up, using, or contributing to the project.","2 - commits for two weeks. Weekly development summary: Week of 2025-09-08: A full tagging system was introduced: the backend Posts canister now defines a `Tag` variant, adds a `tag` field to each post, and extends `createPost` to accept it. Front‑end components—including `TagCarousel`, the publish page, and the news‑feed parser—were updated to use the new `Tag` type, provide tag selection options, and display tags, with a minor click‑handler improvement on the profile page. These changes enable posts to be categorized by topics such as Politics, Technology, Health, etc., improving content organization and user interaction.; Week of 2025-09-22: Implemented a new tagging system for posts, covering both backend and frontend functionality. Fixed authentication issues to improve login reliability and security. These changes enhance user interaction with content and strengthen overall system stability.",dfx.json file found - indicates ICP/Dfinity project structure
Surya-531/SynapseMind-AgriAI,https://github.com/Surya-531/SynapseMind-AgriAI,3,1,1,5,"The README provides clear, step‑by‑step setup instructions for both the backend (Python/Flask) and frontend (React), including prerequisites, virtual‑environment creation, and how to run the services locally. It also includes a fairly detailed integration guide for the Internet Computer (ICP) canisters, describing authentication, on‑chain logging, and deployment commands.","1 - commits for only one week. Weekly development summary: Week of 2025-09-15: This week the project added two new backend services: a Flask‑based crop‑recommendation API (croprec/cropflask.py plus its model, feature, and encoder files) and a Flask‑based yield‑prediction API (yieldprediction/flask_predict_app.py with its model, feature, and encoder files). Existing data and model assets were reorganized into dedicated “cropproduction”, “croprec”, and “yieldprediction” directories, and the README was overhauled with updated project details and instructions. Index.html, the old Jupyter notebook, and an unused pubspec file were removed, streamlining the codebase and expanding its AI advisory capabilities.",dfx.json file found - indicates ICP/Dfinity project structure
Nimakra/Climatio,https://github.com/Nimakra/Climatio,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
khushi07707/smart-glasses,https://github.com/khushi07707/smart-glasses,2,1,0,3,"The README provides a solid general project description and outlines the core functionalities and vision of the smart glasses system, which is helpful for understanding the purpose and high‑level design. However, it lacks essential technical documentation: there are no setup or installation instructions for local development, no guide on how to integrate the software/hardware components, and no contribution guidelines for collaborators. Additionally, the excerpt ends abruptly, suggesting incomplete content. While the existing sections are clear and reasonably well‑formatted, the significant gaps in practical usage and contribution information keep the overall quality at a poor level.","1 - commits for only one week. Weekly development summary: Week of 2025-09-22: Added a new Personal_Assistant.py module (≈147 lines) to the smart glass project, introducing personal‑assistant capabilities. No existing files were modified, deleted, or renamed. This expands the project's functionality beyond the original notebooks and model files.",No dfx.json file found - may not be using standard ICP/Dfinity development tools
Miabritacreations/Changa_DAO,https://github.com/Miabritacreations/Changa_DAO,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
ZenMachina16/CipherNest,https://github.com/ZenMachina16/CipherNest,4,0,1,5,"The README provides a solid project overview, clearly describing CipherNest’s purpose, core features, and technical architecture. The installation and local‑development sections are thorough, listing prerequisites and step‑by‑step commands to clone, start the replica, deploy canisters, and run the frontend. The security and UI sections add valuable context about how the system works and what users can expect.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
nandini-2410/startup-,https://github.com/nandini-2410/startup-.git,2,0,0,2,"The README provides a very brief project description and a short list of example Hardhat commands, which gives a minimal sense of what the repository contains. However, it lacks essential elements such as setup instructions (e.g., installing dependencies, configuring Hardhat, or initializing the development environment), any integration or usage guide beyond the one‑liner commands, and contribution guidelines. The overall structure is minimal, and while the formatting is clean, the content does not sufficiently help a new developer get the project up and running or understand how to contribute. Consequently, the documentation is limited and has significant gaps.",No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
