project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
Blessan-Alex/ICP-CDN,https://github.com/Blessan-Alex/ICP-CDN,3,0,1,4,"The README provides solid local‑development setup instructions—including prerequisites, a step‑by‑step installation guide, and scripts for both frontend and backend—which satisfies the “setup instructions” criterion. It also includes a clear project structure diagram and a technology stack overview, giving readers a sense of the overall architecture.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
verichain-protocol/verichain,https://github.com/verichain-protocol/verichain,3,1,1,5,"The README provides useful sections such as a component list, tool description, AI model references, development prerequisites, common make commands, a link to a more detailed development guide, and a concise contribution workflow. These elements give readers a solid starting point for building and testing the project.","1 - commits for only one week. Weekly development summary: Week of 2025-09-15: This week a complete registration flow was added, including a new Register page, smart‑login logic in the navbar and jumbotron that checks Internet Identity authentication and the logic canister before routing to the dashboard, and UI components for displaying user status. A quota panel was introduced in the sidebar via a new useQuota hook, accompanied by new SVG assets, local‑storage utilities, and debugging helpers to persist and inspect authentication data. The authentication layer (auth‑provider, internet‑identity service, and logic service) was refactored to manage stored principals, create actors with proper identities, and provide richer logging and error handling.; Week of 2025-09-22: This week added a complete registration flow with a new “Register” page and route, plus smart login logic that authenticates via Internet Identity, checks user registration through the Logic canister, and redirects accordingly. A quota‑tracking feature was integrated into the sidebar using a new `useQuota` hook, new SVG assets, and supporting UI components, while the auth provider was enhanced to persist principals in localStorage, create a properly‑configured Logic canister actor, and expose debugging utilities. Overall, the updates introduce user onboarding, quota management, and more robust authentication handling to the existing application.",dfx.json file found - indicates ICP/Dfinity project structure
Zeegaths/Lipainvoice,https://github.com/Zeegaths/Lipainvoice,2,3,1,6,"The README provides a fairly detailed overview of the project's purpose, authentication model, admin capabilities, and frontend structure, which gives a good high‑level description of what the application does. However, it lacks essential practical information:","3 - commits for every other week. Weekly development summary: Week of 2025-09-01: The dashboard was overhauled with a cleaner component hierarchy, streamlined navigation, and placeholder file‑upload/notification support, while invoice hooks were refactored to incorporate user authentication, richer error handling, and toast feedback. NFID IdentityKit replaced Internet Identity, introducing a new `useAuth` hook and updated authentication components, and the `useActor` and `useQueries` hooks were adapted to the new provider; DFINITY dependencies were upgraded to version 2.4.1 with aligned TypeScript module resolution. Together, these changes enhance security, improve user experience, and provide more robust feedback throughout the application.; Week of 2025-09-08: Added an invoicing generation feature. Refactored the Dashboard and Invoice Creation components to improve data handling, filtering, validation, and user feedback, while also updating the Sidebar and App components for smoother navigation. These changes enhance invoice management and overall user experience.; Week of 2025-09-15: This week we introduced a public‑invoice API (`getPublicInvoice`) and a full Client Payment Portal with Bitcoin‑to‑USD conversion, revised invoice‑ID generation, and a link‑copy sharing feature, while refactoring backend and frontend canister interfaces and consolidating hooks into a unified `useAgent` abstraction using @icp-sdk/core. The UI was overhauled with rounded‑3xl borders, streamlined navigation, updated Dashboard and InvoiceCreation components, and consistent timestamp handling, and unused dependencies were removed. Switching the cryptographic stack to the k256 library and cleaning up signature verification and `.did` files enhanced security, performance, and overall code cleanliness.; Week of 2025-09-22: The dashboard component was refactored for cleaner, more consistent code, and overall code formatting was improved. Invoice handling was upgraded with clearer status and filtering logic, plus UI enhancements for consistent styling and layout. Error handling and loading states were also strengthened to improve the user experience.",dfx.json file found - indicates ICP/Dfinity project structure
Shreyanshy53/ICP_SCHOLAR_DECENTRALIZED_EDUCTAION_PLATFORM,https://github.com/Shreyanshy53/ICP_SCHOLAR_DECENTRALIZED_EDUCTAION_PLATFORM.git,3,0,1,4,"The README provides a solid project overview, feature list, technology stack, and basic local‑development setup (prerequisites, cloning, starting the replica, deploying canisters). However, it is incomplete (the installation section cuts off mid‑sentence) and lacks several key elements: there are no detailed integration instructions for consuming the canisters or using the token system, no contribution guidelines (e.g., how to run tests, submit PRs, coding standards), and no guidance on environment configuration or deployment to a production ICP network. The formatting and grammar are generally clear, but the missing sections and abrupt ending reduce its overall usefulness, placing it at a “Fair” level.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
nidioganteng/MedicalChainID,https://github.com/nidioganteng/MedicalChainID,0,0,1,1,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
JohnBenJB/Cafe,https://github.com/JohnBenJB/Cafe/tree/mvp,2,0,1,3,"The README provides a decent high‑level overview of Café—its purpose, key features, and the technologies it uses. However, it lacks essential practical information. There are no setup instructions for getting the project running locally (e.g., prerequisites, installation steps, how to start the canisters, or how to configure Internet Identity). There is no integration guide for developers who might want to embed Café components into other projects, nor are there any contribution guidelines (e.g., code style, branching model, pull‑request process, issue reporting). While the description and formatting are clear and the grammar is fine, the documentation is missing the core elements needed for developers to actually use or contribute to the project, resulting in a “Poor” rating.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
AIO-2030/alaya-network,https://github.com/AIO-2030/alaya-network,2,3,1,6,"The README excerpt provides detailed change logs and technical notes about recent features (device onboarding flow, ALAYA protocol integration, UI tweaks) and includes a brief environment‑variable snippet and CSP hints for ICP hosting. However, it lacks several core documentation elements required for a solid README:","3 - commits for every other week. Weekly development summary: Week of 2025-09-01: The aio‑base‑backend and alaya‑chat‑nexus‑frontend submodules were updated to newer commits, pulling in the latest backend and frontend changes. A new `bincode` crate was added to the Rust dependency lockfile, enabling serialization needed for the integrated device‑info manager. These updates improve backend‑frontend integration and data handling without adding or removing any top‑level files.; Week of 2025-09-08: A new Bluetooth‑first IoT device onboarding flow was added, expanding the process to six steps (including activation code handling via Tencent Cloud and verification) and updating the `deviceInitManager` state sequence accordingly. The README was substantially revised to document this Device Initialization System and its architecture, and the frontend submodule was advanced to a newer commit. These changes introduce a more robust device‑onboarding feature and keep the codebase synchronized with the latest frontend implementation.; Week of 2025-09-15: This week the aio‑base‑frontend and alaya‑chat‑nexus‑frontend were fully decoupled, adding a standalone AIO Protocol executor and type definitions in `src/alaya-chat-nexus-frontend/src/runtime/`. New independent build scripts (`build‑aio‑base‑frontend.sh`, `build‑alaya‑chat‑nexus.sh`, `build‑all‑projects.sh`) and documentation (`PROJECT_ARCHITECTURE_INDEPENDENCE.md` and extensive README updates) were introduced to support the split. The changes make both front‑ends completely independent projects that can be built, deployed, and maintained separately while preserving full ALAYA network protocol functionality.",dfx.json file found - indicates ICP/Dfinity project structure
AYU2027/Icp-health-Exchange,https://github.com/AYU2027/Icp-health-Exchange,3,0,1,4,"The README provides solid local‑development setup instructions, including DFX commands, canister deployment, candid generation, and how to start the frontend server. However, it lacks a general project description that explains what “Health Vault” or “Icp-health-Exchange” actually does, offers no integration guide for consuming the canisters, and does not include any contribution guidelines or code‑of‑conduct information. Formatting is generally clear but there are minor typographical issues (e.g., missing spaces around backticks, inconsistent heading levels). Because the core setup steps are present but several key documentation elements are missing, the overall quality is fair, meriting a score of 3.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Chymezy/deCentra,https://github.com/Chymezy/deCentra.git,2,0,1,3,"The README provides a decent overview of the tech stack, project structure, and feature list, and even includes a small code snippet illustrating the security model. However, it lacks essential documentation elements:",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
RafaelCostaSolutions/icp-onboarding-hub-br,https://github.com/RafaelCostaSolutions/icp-onboarding-hub-br,3,1,1,5,"The README provides a clear project description, problem statement, objectives, and a fairly detailed “Como rodar o projeto (Local)” section that covers installing DFX, cloning the repo, starting a local replica, deploying, and accessing the site. It also outlines the project’s file structure, deliverables, roadmap, impact, and licensing, which gives readers a good overall understanding of the project’s purpose and scope.","1 - commits for only one week. Weekly development summary: Week of 2025-09-15: This week we overhauled the regional step module—updating its JavaScript logic, CSS styling, and associated HTML pages (tutorials, playground, resources, and the home page) and adding a file‑upload capability—to streamline the regional workflow UI and improve consistency. Minor bug fixes and incremental tweaks were also applied across the codebase. The changes enhance the user experience, make regional features more usable, and introduce basic file‑management functionality.; Week of 2025-09-22: This week we refreshed the regional section by updating the Home, Documentation, and Community pages along with their scripts and stylesheets, adding new UI elements and improving consistency. The “Etapa Regional Atualizado” component also received updated styling and scripting for a more cohesive visual design and smoother interaction. Overall, these enhancements refine the user experience across regional pages and ensure a unified, polished interface.",dfx.json file found - indicates ICP/Dfinity project structure
