project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
Buildathonzx/whisperrnote,https://github.com/Buildathonzx/whisperrnote,2,2,0,4,"The README provides a visually appealing overview and a solid high‑level description of the project’s purpose, AI features, and blockchain integration. However, it lacks essential practical information. There are no step‑by‑step setup instructions for local development (e.g., cloning the repo, installing dependencies, building, running the canisters, or configuring Internet Identity). Integration guidance is limited to a few external links and a brief mention of canister URLs, without clear instructions on how a developer would incorporate the service into their own app. There is no contribution guide, code of conduct, or information on how to submit issues or pull requests. While the formatting and grammar are generally good, the missing core documentation elements (setup, contribution, detailed usage) keep the overall quality at a poor level.","2 - Commits every other week. Weekly development summary: Week of 2025-09-01: This week we added a user‑scoped listPublicNotesByUser API, a robust passkey registration flow with Appwrite integration, a global NotesContext and ContextMenuProvider for unified fuzzy search and note‑card menus, and upgraded the app to Next.js 15.4.7. We also tightened shared‑note handling, fixed middleware rewrites, memoized AI, prompt and Fuse.js handlers, corrected type‑safety and permission utilities, and applied security hardening and build‑pipeline adjustments. Together these changes improve security, performance, and reliability while delivering a smoother, more consistent UI experience.; Week of 2025-09-15: This week we added modular components (collaborators, hashed API‑keys, core client with usage‑metrics and plan‑limit enforcement), full revision tracking for notes, a comprehensive tag‑system overhaul, and a versioned AI generation endpoint with provider health monitoring and hashed‑key security. We also refreshed the sharing UI with debounced searches, optimistic updates, and permission management, introduced incremental note loading with cursor‑based pagination, built a global keyboard‑shortcuts system, and created an account‑deletion “danger zone” plus passkey flow refinements. Collectively, these changes boost modularity, data integrity, security, observability, and overall user experience across notes, tags, AI, and collaboration features.; Week of 2025-09-22: Added documentation of the newly created encrypted_notes and internet‑identity canisters (including their IDs) to the README, and extended the sample environment file with corresponding URL variables for these canisters, enabling proper configuration and integration. This improves setup clarity and readiness for blockchain‑backed features. Minor updates and fixes.",No dfx.json file found - may not be using standard ICP/Dfinity development tools
YieldexAI/yieldex-ic-wallet-manager,https://github.com/YieldexAI/yieldex-ic-wallet-manager,2,2,1,5,"The excerpt provides detailed, well‑formatted command examples for interacting with the canister’s API (wallet generation, balance queries, AAVE/Compound integration, and token rebalancing). The usage sections are clear, include emojis, code blocks, and even sample output, which is helpful for end‑users.","2 - Commits every other week. Weekly development summary: Week of 2025-09-15: This week the frontend was overhauled: React Router routing and new Overview, Strategy, and Dashboard pages with shared layout and navigation were added, and wallet integration was enhanced with connection prompts, external modal control, and improved state handling. The custom strategy builder and strategy cards were simplified by removing allocation logic and UI, and the mock strategy data was updated to reflect single‑protocol strategies. Additional work introduced a Playwright testing pipeline, UI refinements (modal portal, grid stretch) and .gitignore updates for Claude and Playwright files.; Week of 2025-09-22: Added Compound V3 as a new lending protocol and updated the OG Duo strategy to combine AAVE V3 and Compound V3, extending mock protocol/strategy data and persisting strategies in the store. Overhauled activity tracking with a new ActivityTimeline component, AI‑driven rebalance transaction types, expanded transaction type definitions, and added store methods for aggregating activity, generating default activity, and handling AI decisions. Refined the UI with risk‑based icons/color in ActivePositions, new QuickActionButtons and Badge components, a tabbed PositionManagementModal, and improved toast handling, all integrated with the updated stores.",dfx.json file found - indicates ICP/Dfinity project structure
alfa-codes/alfa-apy-icp-canisters,https://github.com/alfa-codes/alfa-apy-icp-canisters,1,2,1,4,"The provided README excerpt contains only a handful of external links (repository URLs, website, and community resources) and lacks any substantive content. There is no general project description, no setup or installation instructions for local development, no integration or usage guide, and no contribution guidelines. The structure is minimal, and there is insufficient information to assess the project or to help a new developer get started. Consequently, the documentation quality is very poor.","2 - Commits every other week. Weekly development summary: Week of 2025-09-01: This week we added a new `get_pools_history` endpoint for pool statistics, introduced project branding assets (logo) and a LICENSE file, and merged recent updates into the main branch. We also enhanced deployment configuration by adding controller settings for canisters, updating the production environment URL, and fixing chart snapshot generation bugs. Together, these changes expand API functionality, improve deployment reliability, and polish the project's visual and legal presentation.; Week of 2025-09-08: Implemented ICRC‑21 support in the vault canister by adding the necessary ledger‑type imports, registering ICRC‑21 in the supported standards list, and introducing a new query (`icrc21_canister_call_consent_message`) to handle consent‑message requests. This enhances the vault’s compliance with the ICRC‑21 authentication standard, enabling it to provide consent information for canister calls. No new files were added; only `src/vault/src/lib.rs` was modified.",dfx.json file found - indicates ICP/Dfinity project structure
https://github.com/Soulboard,https://github.com/Soulboard,0,0,0,0,Error during evaluation: list index out of range,Error during evaluation: list index out of range,Error during evaluation: list index out of range
ReyJrFerrer/SRV-WCHL,https://github.com/ReyJrFerrer/SRV-WCHL,2,3,1,6,"The README provides a high‑level overview of the platform’s features and a detailed architecture diagram, which is helpful for understanding the system’s components. However, it lacks several critical sections required for a comprehensive README:","3 - Commits every week. Weekly development summary: Week of 2025-09-01: We introduced a manual location input mode and refactored the service‑location inputs, enabling users to select province and city with dynamically populated barangay dropdowns. The booking component’s location label was clarified, a page‑reload bug was fixed, and minor configuration and package.json clean‑ups were applied. These changes streamline the location‑selection workflow, improve UI guidance, and enhance overall stability.; Week of 2025-09-08: This week we delivered a new frontend wallet UI with accompanying wallet and commission canister services, integrated them into the booking workflow, added a payment.prompt feature, and removed legacy remittance logic from both backend and frontend. We also set up Firebase configuration, Docker containers for streamlined local development, introduced a new account‑creation and greeting flow (IPR‑65), and fixed a bug in the Add component. A broad refactor cleaned out unused code and comments and the changelog was updated, enhancing overall maintainability and clarity.; Week of 2025-09-15: Implemented OTP verification, a new notification canister, multiple‑package support, payment‑holding/release with dynamic commission, unique package‑name validation, wallet‑canister top‑up, mock GCash and Firestore emulator for testing, and expanded direct‑payment limits to 2.5 units with automatic +63 phone‑code prepending. Existing flows were refined—including notification UI, cancel‑confirmation buttons, provider‑booking cards, wallet UI commission notices, transaction‑log and balance fixes—and cross‑platform (Linux) compatibility and code‑style formatting were applied. Together these updates enhance core user experiences, financial reliability, and overall system stability while providing a more robust development and testing environment.; Week of 2025-09-22: This week we refined the UI by running Prettier across the codebase, improving overall formatting consistency. We also resolved several minor bugs affecting notifications, alerts, and the service‑details page, resulting in smoother interactions and more reliable data display. No new features were added, but the stability and visual polish of existing components were noticeably enhanced.",dfx.json file found - indicates ICP/Dfinity project structure
pixeliy/pixeliy,https://github.com/pixeliy/pixeliy,4,2,1,7,"The README provides a solid project overview, clearly listing key features, architectural components, and a roadmap. It includes thorough local development setup instructions—prerequisites, cloning, dependency installation, canister deployment, and how to run the app—making it easy for a new developer to get started. The structure is well‑organized with headings, bullet points, and code blocks, and the grammar/formatting are clean.","2 - Commits every other week. Weekly development summary: Week of 2025-09-08: Updated the authentication flow to use the new Internet Identity provider (`https://id.ai`) instead of the previous `https://identity.ic0.app`, modifying the URLs in both `AuthContext.tsx` and `useAuth.ts`. This change improves the app’s login integration without adding or removing any files. Overall, it’s a targeted enhancement to the existing auth feature.; Week of 2025-09-15: Implemented a new ICRC‑1 token infrastructure by adding ledger and index canisters, registering them in dfx.json, and recording their IDs in canister_ids.json. Added the required candid interfaces, compiled wasm artifacts, and a token icon asset under src/token and the frontend assets. This introduces native token support and the associated front‑end resources to the project.",dfx.json file found - indicates ICP/Dfinity project structure
k0t11k/TESTFINALRVRA,https://github.com/k0t11k/TESTFINALRVRA,2,1,1,4,The README provides a fragmented overview of the project but lacks the depth and completeness expected for good documentation.,"1 - 1 or 2 commits. Weekly development summary: Week of 2025-09-22: This week we introduced an ICP Ninja export capability and refreshed the README and BUILD documentation to reflect the new feature. Minor updates and bug fixes were also applied across the codebase. Together, these changes expand functionality, improve developer guidance, and maintain overall project health.",dfx.json file found - indicates ICP/Dfinity project structure
Wow11One/happy-wheels,https://github.com/Wow11One/happy-wheels,2,1,1,4,"The provided excerpt contains a brief overview of the project's value propositions and a single link to the deployed application, which offers a minimal project description. However, it lacks essential documentation components:","1 - 1 or 2 commits. Weekly development summary: Week of 2025-09-22: Implemented an AI‑based authentication migration by updating the DFINITY auth client version, switching the identity provider URL to `https://id.ai`, and adding a new `TransferApprove.tsx` component (95 lines) for handling transfer approvals. Integrated Google’s generative‑AI SDK (`@google/generative-ai`) into the frontend dependencies. These changes enhance the app’s authentication flow and lay groundwork for AI‑powered features.",dfx.json file found - indicates ICP/Dfinity project structure
DynastyChesses/game,https://github.com/DynastyChesses/game,3,1,1,5,"The README provides a solid project overview and clear local‑development setup instructions, including prerequisites, cloning, dependency installation, and deployment steps for both a local ICP replica and the mainnet. It also outlines the project structure, technology stack, and a roadmap, and the formatting is clean and readable.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-09-22: This week a comprehensive Runtime module for the Unity Render Pipeline was introduced, adding camera management, debugging UI, render‑graph infrastructure, texture handling, utilities, and a full volume system. Numerous new C# source files, asmdef definitions, and prefabs were added, while the existing Behaviour scripts remain unchanged. The addition provides the foundation for advanced rendering features and in‑engine debugging capabilities.",dfx.json file found - indicates ICP/Dfinity project structure
LotusWallet/LOTS,https://github.com/LotusWallet/LOTS,3,1,1,5,"The README provides a solid overview of the project’s purpose, features, API, security model, and a clear project structure. It includes a brief contribution guide (fork, branch, PR) and lists roadmap items, licensing, and support channels. However, it lacks explicit setup instructions for local development (e.g., prerequisites, how to install dependencies, build commands, and how to run the backend/frontend). There is no integration guide for consumers of the library or API usage beyond the method table. While the sections are well‑structured and the formatting is readable, the missing setup and integration details prevent it from reaching a higher rating. Overall, the documentation is functional but incomplete, meriting a “Fair” rating.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-09-22: Implemented a standalone password generator (PasswordGenerator and PasswordGeneratorModal) integrated into the dashboard and entry dialogs, and added new field types (url, email, date) across the backend actor and frontend forms. Added English language support and i18n infrastructure (SPEC_EN.md, i18n provider, translations) along with UI refinements such as new icons, Tailwind configuration, and a redesigned login button. These changes expand functionality, improve usability, and unify the interface language.",dfx.json file found - indicates ICP/Dfinity project structure
