project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
RaghavNotFound/OOPS5_WCHL,https://github.com/RaghavNotFound/OOPS5_WCHL,4,0,1,5,"The README provides a solid overview of the project, clearly outlines its purpose, features, and technology stack, and includes a well‑structured installation guide that covers cloning the repo, installing both frontend and Motoko dependencies, starting a local ICP environment, deploying canisters, and running the development server. The sections on login via Internet Identity, .gitignore, and Motoko dependencies further enhance usability.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
TriplePanicLabs/grindurus-frontend-icp,https://github.com/TriplePanicLabs/grindurus-frontend-icp/tree/main,3,0,1,4,"The README provides a solid project overview, a clear folder structure, and decent local‑development setup instructions (Node.js/dfx requirements, `npm install`, starting the replica, and deploying the canister). It also mentions mainnet deployment steps, which is useful for integration. However, it lacks several key elements that would raise it to a higher rating: there are no contribution guidelines (e.g., how to submit PRs, coding standards, testing procedures), no detailed integration guide for consuming the frontend from other services, and the mainnet deployment section is cut off mid‑sentence, indicating incomplete documentation. While the structure and formatting are generally good, the missing guidance on contributions and the incomplete deployment instructions keep the documentation at a “fair” level rather than “good” or “excellent.”",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
https://github.com/xfusion-dev,https://github.com/xfusion-dev,0,0,0,0,Error during evaluation: list index out of range,Error during evaluation: list index out of range,Error during evaluation: list index out of range
lucas-surdo/mydrops,https://github.com/lucas-surdo/mydrops,0,1,1,2,No documentation assessment provided.,"1 - commits for only one week. Weekly development summary: Week of 2025-09-15: Added a new `index.html` entry point and accompanying `styles.css` stylesheet, introducing a basic web UI for the project. A `vite.config.js` file was also added to configure Vite as the development and build toolchain. These additions extend the initial backend‑focused codebase with a front‑end interface and modern tooling.",dfx.json file found - indicates ICP/Dfinity project structure
gucorinthians/ICPInsurance,https://github.com/gucorinthians/ICPInsurance,2,1,1,4,"The README provides a brief project description (“a minimal setup to get React working in Vite with HMR and some ESLint rules”) and lists the two official Vite React plugins. It also includes a fairly detailed guide on how to expand the ESLint configuration, with code examples and links to additional React‑specific lint plugins.","1 - commits for only one week. Weekly development summary: Week of 2025-09-15: Added new source files `cli.js` and `loose-envify.js` and transformed the project’s `package.json` from the `@emotion/hash` package to the `loose‑envify` package, including new metadata, scripts, dependencies, and a CLI entry point. This introduces a fast, token‑based `process.env` replacement tool and makes it directly executable via the `loose‑envify` command. Overall, the week’s work replaces the previous hash utility with a new environment‑variable handling feature.",dfx.json file found - indicates ICP/Dfinity project structure
crypdrag/HodlHut,https://github.com/crypdrag/HodlHut,3,3,1,7,"The README provides solid **setup instructions** for local development and testing, and it includes a helpful “How It Works” diagram plus a concise list of **key features** and quick‑start links for judges. However, it lacks a clear, high‑level **project description** that explains the problem being solved and the overall purpose of the repository. There are no **contribution guidelines** (e.g., how to submit pull requests, coding standards, or issue reporting) and only minimal **integration guidance**—the backend API URL is listed but there’s no walkthrough on how to consume it or integrate the agents into other services. The structure and formatting are clean, and the grammar is generally fine, but the missing sections prevent the documentation from being fully comprehensive. Hence it falls into the “Fair” category.","3 - commits for every other week. Weekly development summary: Week of 2025-09-08: This week we delivered a mobile‑first overhaul across the app, adding a hamburger navigation overlay, integrated header, responsive My Garden redesign with a full‑staking amount modal, unified deposit interface, expandable asset cards, a balance‑aware asset dropdown, and a collapsible portfolio overview with conditional status‑bar displays. We also standardized token naming and UI styling, refactored legacy IIFE patterns into reusable functions, removed console logs, and migrated inline styles to Tailwind‑based CSS, improving code maintainability and visual consistency. Together, these changes dramatically boost mobile usability, streamline asset handling, and reduce technical debt while preserving existing functionality.; Week of 2025-09-15: This week we delivered a professional order‑book UI (LimitOrderInput, OpenOrdersList), a full‑screen Transaction Preview modal, an execution‑progress modal with real‑time address validation and gas‑optimization UI, and a new CompactDEXSelector + DEXIcon component that powers a weighted, multi‑agent DEX routing system (ICDEX, ICPSwap, KongSwap) with Plug‑wallet support. We also removed all Solana‑related code, assets, and routing logic, consolidating the platform to a Bitcoin + Ethereum‑only six‑agent architecture, simplified the asset UI, and fixed over 100 TypeScript errors in Dashboard.tsx while improving CI and test coverage. Together these changes streamline the swap flow, boost routing efficiency and user experience on desktop and mobile, and provide a more stable, maintainable foundation aligned with the DFINITY roadmap.; Week of 2025-09-22: This week we completed the mainnet launch of the HodlHut dApp, deploying both frontend and Motoko backend canisters with .did interfaces, adding the Smart Solutions system with CompactDEX integration, a persistent actor, LightningCSS‑enhanced Tailwind builds, and full demo‑mode portfolio handling with real‑time market data and order‑book slippage modeling for ICDEX, ICPSwap, and KongSwap. We refined the UI by introducing a native‑withdrawal Execute button, gas‑optimization controls, zero‑balance warnings, fee‑deduction logic, and high‑slippage alerts, while fixing critical swap‑route bugs, compilation errors, and L1‑withdrawal accounting. These updates make the application publicly accessible, production‑ready, and more reliable and user‑friendly, delivering accurate balances, robust fee calculations, and comprehensive DEX protection.",dfx.json file found - indicates ICP/Dfinity project structure
Darthpool9900/gap_project,https://github.com/Darthpool9900/gap_project,0,0,1,1,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
AbdoViper23/halaqa-Save,https://github.com/AbdoViper23/halaqa-Save,2,2,1,5,"The README provides a solid project overview, problem statement, and a detailed list of features, which helps readers understand what the platform does and its technical highlights. However, it is missing several critical components required for a high‑quality documentation set:","2 - commits for two weeks. Weekly development summary: Week of 2025-09-08: A complete Vite‑based frontend was introduced, adding a login page, a new wallet page with supporting components (BalanceCard, PromoCard, TokenList, Sidebar, TopBar) and a suite of reusable UI primitives, plus background DotGrid animations and updated routing. Existing App.tsx was refactored to simplify the layout and integrate the new routes, while the dfx.json and .gitignore were extended to handle the new frontend assets and build outputs. These changes bring a functional user interface and wallet functionality that were absent in the initial state.; Week of 2025-09-15: Implemented a hot‑fix for the DotGrid component by fixing the device‑pixel‑ratio calculation (setting `dpr` to 1) to correct rendering issues. Added the `ogl` library (v1.0.11) to both `package.json` and `package-lock.json`, introducing a new 3D graphics dependency. These changes improve visual fidelity and expand the project’s capability for future graphics features.; Week of 2025-09-22: This week a full new frontend scaffold was added under a lowercase `frontend/` directory, bringing in Vite, Tailwind, package configs, a comprehensive UI component library, and new pages such as Login, Wallet, Transfer, and supporting utilities. The repository’s `.gitignore` was expanded to cover Vite build artifacts and frontend‑specific files, and a hot‑fix added environment variable definitions to the Vite config. Overall, the changes constitute a major client‑side overhaul, introducing a complete wallet UI and extensive reusable components beyond the original Frontend/ codebase.",dfx.json file found - indicates ICP/Dfinity project structure
Panorama-Block/zico_agents,https://github.com/Panorama-Block/zico_agents,3,1,1,5,"The README provides a fairly detailed set of setup and verification steps, example API calls, business use‑case scenarios, and a thorough overview of technical features and performance metrics. However, it lacks a clear, high‑level project description at the beginning that explains the purpose and scope of the project. There are also no contribution guidelines, code of conduct, or instructions for running tests or building the project, which are typical components of comprehensive documentation. While the existing sections are well‑structured and mostly free of grammatical errors, the missing introductory context and contributor information prevent it from reaching a higher rating.","1 - commits for only one week. Weekly development summary: Week of 2025-09-22: This week we introduced a full hackathon feature, providing core functionality for creating, managing, and running hackathon events and updating the README to document the new capabilities. Minor updates and bug fixes were also applied to improve overall stability and polish existing functionality. Together, these changes expand the product’s capabilities while enhancing its reliability.",dfx.json file found - indicates ICP/Dfinity project structure
amrshaker000/origin_trace,https://github.com/amrshaker000/origin_trace,4,0,1,5,"The README provides a solid overview of the project, clearly outlines its features, technology stack, design considerations, and includes detailed local‑development setup instructions (cloning, installing dependencies, building Tailwind, running the dev server, and available npm scripts). The project structure is well‑documented, and the formatting is clean and readable.",0 - no commits. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
