project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
KaizenOrg/kaisen,https://github.com/KaizenOrg/kaisen,4,1,1,6,"The README provides a strong general project description, clear solution overview, and detailed core feature explanations, all well‑structured with headings, images, and a helpful table of contents. However, the excerpt does not include explicit **setup instructions for local development**, **integration guides**, or **contribution guidelines**—sections that are essential for a 5‑star rating. The presence of those sections in the table of contents suggests they may exist later in the document, but without seeing them we cannot confirm their completeness or clarity. Grammar and formatting are good, and the overall structure is logical, but the missing visible implementation details prevent a perfect score. If the omitted sections are comprehensive, the score could rise to a 5. As presented, the documentation is solid but not fully complete.",1 - 1 or 2 commits. Weekly development summary: Week of 2025-09-22: Minor updates and fixes.,dfx.json file found - indicates ICP/Dfinity project structure
rodweleo/neuroverse-studio,https://github.com/rodweleo/neuroverse-studio,2,3,1,6,"The README provides a decent high‑level project description (overview, background, features) and useful links to the live canisters and presentations. However, it lacks the essential practical documentation needed for developers:","3 - Commits every week. Weekly development summary: Week of 2025-09-01: This week added full token‑transfer support to the dashboard, including a new TokenTransferModal component, UI buttons for sending/receiving/history, and corresponding ledger canister entries (ICP and ckETH) in dfx.json. Backend canisters now expose deleteAgent and deleteTool functions, while the frontend received agent‑deletion UI, updated hooks (including a useUserDeleteAgent mutation), a loading fallback component, and numerous UI refinements (renamed routes, improved cards, badge styling, and service file renames). Together these changes expand financial interactions, give users the ability to remove agents/tools, and improve overall responsiveness and consistency of the Neuroverse Studio app.; Week of 2025-09-08: This week introduced a full document‑management backend (new Motoko types for files, vetkeys, and NFTs plus file upload/download services) and corresponding frontend services, UI components, and type definitions to handle uploading, downloading, and whitelist management. The UI was refreshed across the layout, index page, and auth button (added footer, responsive headings, redesigned hero section, and improved token‑transfer modals) and integrated ICP ledger transfers via a new `IcpLedgerCanister` utility with mutation hooks. Dependency updates added the `@dfinity/vetkeys` package and optimized the backend canister for cycles.; Week of 2025-09-15: This week we added token‑transfer functionality—including an account‑to‑account transfer hook and refined token‑formatting utilities—while enhancing agent creation with a reset function, tool selection, and tighter payment‑modal integration featuring better error handling, UI tweaks, and SEO‑focused meta‑tag updates. We also introduced the Aurora component, a customizable dynamic gradient background with adjustable color stops, amplitude, and blend properties, which was applied to the CallToAction section and the Index page along with new CSS utilities for gradient text and backgrounds. Together, these changes improve core payment workflows, streamline agent tooling, and significantly boost the site’s visual design and interactivity.; Week of 2025-09-22: This week a new HeroSection (with an Orb UI component) was added to the front‑end and the main page was refactored to use it, while the token‑transfer modal and query keys were updated for consistency. Authentication and token handling were overhauled: the code now uses `IcrcLedgerCanister` with dynamic identity/host creation, adds dev‑mode safeguards for Plug and NFID, and updates host URLs and the identity provider URL. Overall, these changes refresh the UI, tighten security, and streamline ledger interactions across the app.",dfx.json file found - indicates ICP/Dfinity project structure
abya-university/abya-passport,https://github.com/abya-university/abya-passport,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
rahulrr-coder/karbyn,https://github.com/rahulrr-coder/karbyn,4,2,1,7,"The README provides a solid project description, clear motivation, and a concise overview of the platform’s purpose and key features. Setup instructions for local development are well‑covered: prerequisites, cloning, installing dependencies, starting the ICP replica, deploying canisters, and running the dev server are all listed with exact commands. The architecture section gives a quick tech stack snapshot, and the use‑case section helps readers understand potential integrations.","2 - Commits every other week. Weekly development summary: Week of 2025-09-08: The week focused on replacing the Web3Auth and biometric verification stack with a streamlined NFID‑based authentication system: a new NFID_AUTH_GUIDE.md was added, AuthButton and related UI components were refactored to use SimpleAuthContext, and all Web3Auth, biometric services, and related pages were removed. Additional UI improvements include new lazy‑loaded AI and chart components, migration from Next.js links to react‑router‑dom, and Vite chunk‑splitting optimizations. These changes simplify the login flow, reduce dependencies, and prepare the app for lighter, more maintainable front‑end performance.; Week of 2025-09-15: Implemented functional authentication and added Metamask-based login, enhancing the app’s user authentication capabilities.; Week of 2025-09-22: This week added backend support for NGOs and carbon‑offset claims (new NGOProfile and Claim structs) and introduced a suite of new frontend pages—Submit Project, Projects Listing, Project Details, an enhanced Marketplace, and an Admin‑panel placeholder—along with routing updates and UI components such as ClaimSubmissionForm, ProfileDropdown, and PostLoginRegistrationModal. The Header and LoginButton were refactored to display a profile dropdown for authenticated users, and the project‑submission flow was expanded with tree‑specific fields and per‑user local‑storage persistence. Together these changes extend the app from basic authentication to full NGO registration, project creation, claim handling, and marketplace interaction.",dfx.json file found - indicates ICP/Dfinity project structure
Kazeth/DigiPurse,https://github.com/Kazeth/DigiPurse,0,2,1,3,No documentation assessment provided.,"2 - Commits every other week. Weekly development summary: Week of 2025-09-08: The landing page UI received an initial redesign, updating its layout and visual elements. Font changes were added to improve overall typography and readability across the application.; Week of 2025-09-15: This week the UI was refreshed: the About Us page got cleaner data formatting and a GitHub icon, while the Landing page received a new feature carousel with gradient cards, a marquee component and the Coins icon, powered by the newly added **react‑fast‑marquee** library. The Support page was enhanced with initial bot messages, saved‑chat state and extra icons for richer interaction. Overall, these changes improve visual appeal and user experience across the main frontend pages.; Week of 2025-09-22: Implemented a UI/UX redesign for the DigiTicket interface, including updated homepage elements and document count displays. Added a backend and front‑end history feature that tracks when users add or remove documents. These changes enhance the user experience and provide an audit trail for document actions.",dfx.json file found - indicates ICP/Dfinity project structure
Jayesh45-master/jarvis,https://github.com/Jayesh45-master/jarvis,3,0,1,4,"The README provides a fairly comprehensive project description, feature list, technology stack, folder layout, and fairly detailed local‑development setup steps (cloning, installing frontend and backend dependencies, creating a .env file, and how to run each part). It also includes a usage guide and a future roadmap, which are helpful for users.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Ma7moud12975/ATOS-fit,https://github.com/Ma7moud12975/ATOS-fit/tree/main,2,2,1,5,"The README provides a nice overview of the project’s purpose, key features (decentralized deployment, privacy‑first processing), technical stack, and a visual list of supported exercises. The formatting is clean and the markdown tables display correctly, which aids readability.","2 - Commits every other week. Weekly development summary: Week of 2025-09-08: Implemented a file‑upload feature, adding an upload interface, integrating the component into the main UI (index.jsx), and documenting the capability in the README. Minor updates and fixes were also applied, refining existing functionality and improving overall project stability.; Week of 2025-09-15: This week we renamed the Exercise Library to “Exercises,” refreshed its icons, and updated the README documentation to reflect the changes. We also delivered a series of minor updates and bug fixes across the codebase. Together, these improvements enhance visual consistency, usability, and overall stability.; Week of 2025-09-22: Minor updates and fixes",dfx.json file found - indicates ICP/Dfinity project structure
Oansa/Celestial,https://github.com/Oansa/Celestial,2,1,1,4,"The README provides a fairly detailed general description of the project’s purpose, visual design, and authentication flow, which satisfies the “project description” criterion. However, it lacks essential documentation elements required for a higher rating:",1 - 1 or 2 commits. Weekly development summary: Week of 2025-09-22: Minor updates and fixes.,dfx.json file found - indicates ICP/Dfinity project structure
Sid31/vram-synth,https://github.com/Sid31/vram-synth,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
AlBasyaar/Web3-Skillsnap-dapp,https://github.com/AlBasyaar/Web3-Skillsnap-dapp,2,2,1,5,"The README provides a decent high‑level project description, visual screenshots, and links to external resources (documentation, pitch deck, demo video). However, it lacks essential developer‑oriented information: there are no clear setup or installation instructions for running the project locally (the “Requirements” section is cut off), no integration or usage guide, and no contribution guidelines or code of conduct. The overall structure is fragmented, with some formatting issues (e.g., broken emoji, missing list numbering). Grammar is generally understandable but the incomplete sections and missing key elements make the documentation insufficient for developers to get started or contribute.","2 - Commits every other week. Weekly development summary: Week of 2025-09-01: Added Dockerfile and docker‑compose.yaml to enable containerized development and deployment. Enhanced the authentication form to create a DFINITY HttpAgent and backend actor using the logged‑in Internet Identity, exposing it via `window.skillsnap_backend`. These changes introduce backend connectivity for authenticated users and provide a reproducible Docker environment.; Week of 2025-09-08: This week added protected routing (ProtectedRoute) and introduced two new pages—Profile and Recommendation—along with updated navigation links in the Navbar and Sidebar to expose them. The authentication flow was refined (AuthForm now redirects after registration) and the PersonalityAssessmentForm was enhanced with html2canvas/file‑saver for exporting results and a corrected backend call. Together, these changes improve user access control, expand functionality, and streamline data handling.; Week of 2025-09-15: This week we delivered core functionality for AI chat, course management, and a new authentication system, complete with the necessary backend support. The UI was refined—updating the menu profile and adding dedicated sections for AI, dashboard, job, and profile—while minor clean‑ups, bug fixes, and README documentation were also completed. These enhancements introduce key features, improve user navigation, and increase overall system stability.; Week of 2025-09-22: This week the README was extensively revised: new screenshots were added, the project overview and feature list were expanded, and links (including the demo video) were corrected and reformatted. No source code files were added, removed, or changed, so the updates are documentation‑only.",dfx.json file found - indicates ICP/Dfinity project structure
