project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
WeGoWinPrikitiw/pico,https://github.com/WeGoWinPrikitiw/pico,0,0,1,1,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
3wHub/voted-apps,https://github.com/3wHub/voted-apps,2,0,1,3,"The README provides a nice overview of features, security, UI, subscription tiers, tech stack, and a high‑level project structure, which helps a reader understand what the application is about. However, it lacks critical documentation components:",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
hunters-code/plantify,https://github.com/hunters-code/plantify,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
ndrewantonio/encoteki-whcl-2025,https://github.com/ndrewantonio/encoteki-whcl-2025,0,0,1,1,No documentation assessment provided.,0 - no commits. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Frascth/cvku.id,https://github.com/Frascth/cvku.id,2,2,1,5,"The README provides a partial project overview (feature list and architecture description) and a basic “Build and deployment instructions for local development” section, but it is missing several critical elements. The setup steps are incomplete (e.g., an unclosed code block, missing instructions for configuring the Internet Computer SDK, and no guidance on running the services). There is no clear project description that explains the purpose, target audience, or high‑level functionality beyond the feature list. Integration or usage instructions (how to use the resume builder, API endpoints, etc.) are absent, and there are no contribution guidelines, code of conduct, or instructions for submitting issues/pull requests. Formatting and grammar also need improvement (broken markdown, stray characters, inconsistent capitalization). Because of these substantial gaps, the documentation rates as **Poor (2)**.","2 - commits for two weeks. Weekly development summary: Week of 2025-09-01: Implemented optimistic certification creation by adding a local ID (`lid`) and updating the Certification service to return structured responses, with matching changes in the frontend handler, store (including a new `lid` field and `areHandlersReady` helper) and UI components. Added a `areHandlersReady` check to ensure all resume handlers are initialized before fetching data, refined the AuthProvider’s network handling, and introduced `isBackendId` guards to disable delete actions for unsaved items. These updates improve reliability of data operations, loading‑state handling, and overall user experience.; Week of 2025-09-08: Added a new assessment feature, introducing functionality for creating and managing assessments within the application. This expands the system’s capabilities for evaluating content or performance. The change enhances the platform’s core offering by providing structured assessment tools.; Week of 2025-09-15: This week we introduced a new analytics dashboard delivering visual insights, added a public‑link feature to the community job connector for easier sharing, and implemented a front‑end “spark” component to boost UI interactivity. Minor updates and fixes were also applied across the codebase to improve stability and performance. Together, these changes enhance user experience, streamline collaboration, and provide richer data visualization.",dfx.json file found - indicates ICP/Dfinity project structure
WAW1311/dyahai-2.0,https://github.com/WAW1311/dyahai-2.0,2,3,1,6,"The README provides a clear project overview, problem statement, and a high‑level description of new features, which is helpful for understanding what DyahAI does. However, it lacks essential technical documentation:","3 - commits for every other week. Weekly development summary: Week of 2025-09-01: This week we enhanced the frontend by improving navigation and scrolling behavior, fixing page‑movement issues, and stabilizing the infinite‑generation feature for reliable operation. Additional general frontend fixes were applied to boost overall stability, and a set of minor updates and bug fixes were included.; Week of 2025-09-08: This week added a deployment script and a new HTTP module for the backend, reorganized storage, transaction, and user code into separate sub‑modules (with accompanying type files) and introduced stable‑memory support, updating the candid interface accordingly. The frontend pricing page was also revised: plan prices were corrected, conversion logic simplified, and related constants removed. Overall, the changes refactor and extend the backend API while polishing the pricing UI.; Week of 2025-09-15: Implemented internet identity authentication, adding a new login method for users. This enhances the platform’s security and user onboarding experience.; Week of 2025-09-22: Implemented the final WCHL25 Regional Round with complete backend and frontend functionality, delivering a finished regional‑round feature set. Updated the site footer and related UI components for a more consistent, usable layout, and restructured the metadata image handling to improve organization and maintainability. Documentation was refreshed across multiple READMEs, ensuring the project’s docs stay current.",dfx.json file found - indicates ICP/Dfinity project structure
Unchainers/Overworked,https://github.com/Unchainers/Overworked,2,1,1,4,"The README provides only a handful of sections—screenshots, a list of owners, some external resource links, and contact information. It lacks a clear project description, any setup or local development instructions, integration or usage guides, and contribution guidelines. While the formatting (tables, lists) is acceptable and the contact details are helpful, the documentation is limited and omits the essential information needed for new users or contributors to understand, build, or contribute to the project. Consequently, it falls into the “Poor” category with significant gaps.","1 - commits for only one week. Weekly development summary: Week of 2025-09-08: This week the Internet Identity candid interface was expanded with new Google OpenID configuration, generic OpenID settings, feature‑flag fields, and additional device/session registration data, and the corresponding canister hashes were updated. On the frontend, Uppy file‑upload libraries were added (core, file‑input, drop‑target, react) and their imports were adjusted, while the navbar logo was switched from a styled “O” to the project’s image. Minor UI tweaks (e.g., commented‑out MouseFollower and CSS imports) accompany these feature additions.",dfx.json file found - indicates ICP/Dfinity project structure
codinersmillenium/kolabriq,https://github.com/codinersmillenium/kolabriq,1,1,1,3,"The provided README excerpt contains only a few external links and a list of developer GitHub profiles. It lacks a project description, any setup or installation instructions for local development, integration guidance, contribution guidelines, or any meaningful structure. There is no context about what the project does, how to get it running, or how others can contribute. Consequently, the documentation is minimal and does not meet any of the criteria for a higher rating.","1 - commits for only one week. Weekly development summary: Week of 2025-09-15: Implemented a retry mechanism for canister callers and refactored task/project creation workflows, adding payout handling and updated interfaces. Introduced blockchain‑based listings for users, projects, and tasks while stabilizing the blockchain concept through extensive refactoring. These changes boost reliability, streamline data access across the platform, and enhance overall system stability.; Week of 2025-09-22: This week’s ten commits delivered a series of incremental improvements and bug fixes across the codebase, refining existing functionality and enhancing stability. Minor feature tweaks were applied to polish user‑facing components, while underlying issues were resolved to improve performance and reliability. Overall, the updates tighten the product’s quality and prepare the ground for future feature development.",dfx.json file found - indicates ICP/Dfinity project structure
demigohu/Fintrack_new,https://github.com/demigohu/Fintrack_new.git,2,2,1,5,"The README provides a high‑level overview of the project's features and a fairly detailed architecture diagram, system flow, and user flow diagram, which helps readers understand the overall design. However, it lacks essential documentation elements:","2 - commits for two weeks. Weekly development summary: Week of 2025-09-08: Added a new Bridge page and introduced Budget and Goals functionality. Updated the Deposit page and transaction handling while removing the Withdraw page. These changes expand financial features, streamline transaction flows, and simplify the user interface.; Week of 2025-09-15: Implemented new swap functionality (Kongswap) and added ICRC‑1 token support, alongside ERC‑20 balance handling and a CoinGecko‑style API. Updated the front‑end and prepared migration tooling. Uniswap integration was completed but flagged for redesign, indicating further work on that component.; Week of 2025-09-22: Added comprehensive architecture and user‑flow diagrams to the README (new usrflow.mmd and architecture.mmd) and updated badges and layout, enhancing documentation of the FinTrack Protocol’s components and interactions. The week also involved cleaning up the repository by deleting the large Bitcoin regtest data directory, reducing unnecessary files. No functional code changes were made, but the documentation improvements and data cleanup clarify the system design and streamline the project.",dfx.json file found - indicates ICP/Dfinity project structure
peridotvault/peridot-onchain,https://github.com/peridotvault/peridot-onchain,3,2,1,6,"The README provides solid local‑development setup instructions – it lists helpful documentation links, shows how to start the replica, deploy canisters, generate candid interfaces, and run the frontend server, plus a note on environment variables. However, it lacks a clear, high‑level project description that tells a reader what the project does or its purpose. There is no integration guide for consuming the canisters from other projects, nor any contribution guidelines (e.g., how to submit issues or pull requests, coding standards, testing procedures). The overall structure and formatting are decent, and the grammar is acceptable, but the missing core sections keep it from reaching a higher rating.","2 - commits for two weeks. Weekly development summary: Week of 2025-09-01: This week we delivered a revamped chatbot UI—including a chat overlay, floating action button, and form‑submission handling—and added HTTP outcall support for both the chatbot core and its scaffolding to enable seamless backend API integration. We also set up new AI smart‑contract infrastructure, updated the DFX development environment, refreshed the main index page, and improved documentation navigation, collectively enhancing user interaction, expanding connectivity, and laying groundwork for AI‑driven contract capabilities.; Week of 2025-09-15: Added a new peridot_ai canister ID and integrated it into the frontend by implementing a full AI chat feature: a new AiChat molecule component, extensive state‑ful logic in AiSectionWelcome.jsx, and removal of the old floating button. UI enhancements include responsive layout adjustments, updated version labeling, a new coin‑peridot image asset, and an expanded Tailwind font‑size palette. These changes collectively introduce on‑chain AI chat functionality and improve the overall responsiveness and visual polish of the app.",dfx.json file found - indicates ICP/Dfinity project structure
